DATE,NATURALGAS
2019-06-01,2119.4
2019-07-01,2409.5
2019-08-01,2440.7
2019-09-01,2217.3
2019-10-01,2328
2019-11-01,2778.6
2019-12-01,3148.1
2020-01-01,3293.2
2020-02-01,3035.9
2020-03-01,2709.2
2020-04-01,2243.9
2020-05-01,2068.4
2020-06-01,2135.6
2020-07-01,2494.7
2020-08-01,2350.9
